2022-02-26/15:48:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:06		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:06		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:06		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:06		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:06		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:06		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:06		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:07		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:07		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:07		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:07		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:07		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:07		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:07		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:07		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:08		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:08		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:08		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:08		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:08		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:08		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:09		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:09		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:09		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:09		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:09		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:09		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:09		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:09		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:10		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:10		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:10		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:10		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:10		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:10		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:10		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:11		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-26/15:48:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:12		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:12		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:12		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:12		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:12		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:12		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:13		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:14		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:14		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:14		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:14		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:14		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:14		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:14		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:14		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:14		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:16		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:16		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:16		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:16		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:16		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:16		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:17		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:17		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:17		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:17		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:17		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:17		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:17		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:17		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:18		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:18		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:18		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:18		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:18		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:18		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:18		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:18		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:19		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:19		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:19		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:19		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:19		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:19		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:19		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:19		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:20		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:20		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:20		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:20		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:20		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:20		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:21		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:21		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:21		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:21		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:21		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:21		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:21		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:22		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:22		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:22		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:22		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:22		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:22		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:23		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:23		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:23		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:23		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:23		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:23		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:23		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:24		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:24		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:24		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:24		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:24		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:24		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:24		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-26/15:48:24		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:24		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:25		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:25		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:25		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:25		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:25		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:25		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:25		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:25		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:26		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:26		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:26		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:26		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:26		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:26		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:26		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:27		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:27		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:27		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:27		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:27		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:27		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:28		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:28		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:28		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:28		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:28		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:28		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:28		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-26/15:48:28		 wafer_23012020_041211.csv: File loaded successfully!!
